id,code,name
l10n_pe_economic_activity_2822,2822,Fabricación de maquinaria para la conformación de metales y de máquinas herramienta
l10n_pe_economic_activity_2823,2823,Fabricación de maquinaria metalúrgica
l10n_pe_economic_activity_2824,2824,Fabricación de maquinaria para explotación de minas y canteras y para obras de construcción
l10n_pe_economic_activity_2825,2825,Fabricación de maquinaria para la elaboración de alimentos, bebidas y tabaco
l10n_pe_economic_activity_2826,2826,Fabricación de maquinaria para la elaboración de productos textiles, prendas de vestir y cueros
l10n_pe_economic_activity_2829,2829,Fabricación de otros tipos de maquinaria de uso especial
l10n_pe_economic_activity_2910,2910,Fabricación de vehículos automotores
l10n_pe_economic_activity_2920,2920,Fabricación de carrocerías para vehículos automotores; fabricación de remolques y semirremolques
l10n_pe_economic_activity_2930,2930,Fabricación de partes, piezas y accesorios para vehículos de automotores
l10n_pe_economic_activity_3011,3011,Construcción de buques y estructuras flotantes
l10n_pe_economic_activity_3012,3012,Construcción de embarcaciones de recreo y deporte
l10n_pe_economic_activity_3020,3020,Fabricación de locomotoras y de material rodante
l10n_pe_economic_activity_3030,3030,Fabricación de aeronaves y naves espaciales y maquinaria conexa
l10n_pe_economic_activity_3040,3040,Fabricación de vehículos militares de combate
l10n_pe_economic_activity_3091,3091,Fabricación de motocicletas
l10n_pe_economic_activity_3092,3092,Fabricación de bicicletas y de sillones de ruedas para inválidos
l10n_pe_economic_activity_3099,3099,Fabricación de otros tipos de equipo de transporte n.c.p.
l10n_pe_economic_activity_3100,3100,Fabricación de muebles
l10n_pe_economic_activity_3211,3211,Fabricación de joyas y artículos conexos
l10n_pe_economic_activity_3212,3212,Fabricación de bisutería y artículos conexos
l10n_pe_economic_activity_3220,3220,Fabricación de instrumentos de música
l10n_pe_economic_activity_3230,3230,Fabricación de artículos de deporte
l10n_pe_economic_activity_3240,3240,Fabricación de juegos y juguetes
l10n_pe_economic_activity_3250,3250,Fabricación de instrumentos y materiales médicos y odontológicos
l10n_pe_economic_activity_3290,3290,Otras industrias manufactureras n.c.p.
l10n_pe_economic_activity_3311,3311,Reparación de productos elaborados de metal
l10n_pe_economic_activity_3312,3312,Reparación de maquinaria
l10n_pe_economic_activity_3313,3313,Reparación de equipo electrónico y óptico
l10n_pe_economic_activity_3314,3314,Reparación de equipo eléctrico
l10n_pe_economic_activity_3315,3315,Reparación de equipo de transporte, excepto vehículos automotores
l10n_pe_economic_activity_3319,3319,Reparación de otros tipos de equipo
l10n_pe_economic_activity_3320,3320,Instalación de maquinaria y equipo industriales
l10n_pe_economic_activity_3510,3510,Generación, transmisión y distribución de energía eléctrica
l10n_pe_economic_activity_3520,3520,Fabricación del gas; distribución de combustibles gaseosos por tuberías
l10n_pe_economic_activity_3530,3530,Suministro de vapor y aire acondicionado
l10n_pe_economic_activity_3600,3600,Captación, tratamiento y distribución de agua
l10n_pe_economic_activity_3700,3700,Evacuación de aguas residuales
l10n_pe_economic_activity_3811,3811,Recogida de desechos no peligrosos
l10n_pe_economic_activity_3812,3812,Recogida de desechos peligrosos
l10n_pe_economic_activity_3821,3821,Tratamiento y eliminación de desechos no peligrosos
l10n_pe_economic_activity_3822,3822,Tratamiento y eliminación de desechos peligrosos
l10n_pe_economic_activity_3830,3830,Recuperación de materiales
l10n_pe_economic_activity_3900,3900,Actividades de descontaminación y otros servicios de gestión de desechos
l10n_pe_economic_activity_4100,4100,Construcción de edificios
l10n_pe_economic_activity_4210,4210,Construcción de carreteras y líneas de ferrocarril
l10n_pe_economic_activity_4220,4220,Construcción de proyectos de servicio público
l10n_pe_economic_activity_4290,4290,Construcción de otras obras de ingeniería civil
l10n_pe_economic_activity_4311,4311,Demolición
l10n_pe_economic_activity_4312,4312,Preparación del terreno
l10n_pe_economic_activity_4321,4321,Instalaciones eléctricas
l10n_pe_economic_activity_4322,4322,Instalaciones de fontanería, calefacción y aire acondicionado
l10n_pe_economic_activity_4329,4329,Otras instalaciones para obras de construcción
l10n_pe_economic_activity_4330,4330,Terminación y acabado de edificios
l10n_pe_economic_activity_4390,4390,Otras actividades especializadas de la construcción
l10n_pe_economic_activity_4510,4510,Venta de vehículos automotores
l10n_pe_economic_activity_4520,4520,Mantenimiento y reparación de vehículos automotores
l10n_pe_economic_activity_4530,4530,Ventas de partes, piezas y accesorios para vehículos automotores
l10n_pe_economic_activity_4540,4540,Venta, mantenimiento y reparación de motocicletas y de sus partes, piezas y accesorios.
l10n_pe_economic_activity_4610,4610,Venta al por mayor a cambio de una retribución o por contrata
l10n_pe_economic_activity_4620,4620,Venta al por mayor de materias primas agropecuarias y animales vivos.
l10n_pe_economic_activity_4630,4630,Venta al por mayor de alimentos, bebidas y tabaco.
l10n_pe_economic_activity_4641,4641,Venta al por mayor de productos textiles, prendas de vestir y calzado
l10n_pe_economic_activity_4649,4649,Venta al por mayor de otros enseres domésticos
l10n_pe_economic_activity_4651,4651,Venta al por mayor de ordenadores, equipo periférico y programas de informática
l10n_pe_economic_activity_4652,4652,Venta al por mayor de equipo, partes y piezas electrónicos y de telecomunicaciones
l10n_pe_economic_activity_4653,4653,Venta al por mayor de maquinaria, equipo y materiales agropecuarios
l10n_pe_economic_activity_4659,4659,Venta al por mayor de otros tipos de maquinaria y equipo
l10n_pe_economic_activity_4661,4661,Venta al por mayor de combustibles sólidos, líquidos y gaseosos y productos conexos
l10n_pe_economic_activity_4662,4662,Venta al por mayor de metales y minerales metalíferos
l10n_pe_economic_activity_4660,4660,Venta al por mayor de materiales de construcción, artículos de ferretería y equipo y materiales de fontanería y calefacción.
l10n_pe_economic_activity_4669,4669,Venta al por mayor de desperdicios, desechos, chatarra y otros productos n.c.p
l10n_pe_economic_activity_4690,4690,Venta al por mayor no especializada
